Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
accent Inkubator GmbH,https://www.crunchbase.com/organization/accent-wiener-neustadt-aplusb,Incubator,,,"Wiener Neustadt, Niederosterreich, Austria",,accent is the tough-tech business incubator of Lower Austria.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-08-24,day,https://accent.at/en,https://www.linkedin.com/company/accent-gründerservice-gmbh,,,
Clusterhaus,https://www.crunchbase.com/organization/clusterhaus-2,Co-Working Space,,,"Vienna, Wien, Austria",,Clusterhaus is Home for entrepreneurs & start-ups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.clusterhaus.de/,https://www.linkedin.com/company/clusterhaus,,,
F Fund,https://www.crunchbase.com/organization/f-fund,Micro VC,,,"Vienna, Wien, Austria","Early Stage Venture, Seed","F Fund is an early-stage investor in pre-seed and seed start-ups in climatetech, femtech & healthtech, fintech & insurtech and HR tech.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://fund-f.com,https://www.linkedin.com/company/fund_f,,,
INiTS Gründerservice,https://www.crunchbase.com/organization/inits-grnderservice,Incubator,,,"Vienna, Wien, Austria",,INiTS has been providing advice and support for entrepreneurs with innovative ideas since 2002.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-10-01,day,http://www.inits.at/en,https://www.linkedin.com/company/inits-university-business-incubator-vienna,,,
blueLAB - Coworking im Rondo,https://www.crunchbase.com/organization/bluelab-coworking-im-rondo,Co-Working Space,,,"Graz, Steiermark, Austria",,"Bluelab connects people and supports them, themselves, their companies, initiatives and regions to develop.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://bluelab.at/coworking,,,,
110p,https://www.crunchbase.com/organization/110p,"Accelerator, Incubator",,,"Vienna, Wien, Austria",Seed,"Prototyping, Corporate Innovation, Startup Advisory","European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-03-13,day,https://110p.at,,,,
Coworking-Space 42 GRAMM,https://www.crunchbase.com/organization/coworking-space-c42-42-gramm,Co-Working Space,,,"Graz, Steiermark, Austria",,Coworking-Space 42 GRAMM is a flexible and equipped workplace solution provider.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.42gramm.com/coworking.html,https://www.linkedin.com/company/42-gramm,,,
BASISLAGER,https://www.crunchbase.com/organization/basislager-2,Co-Working Space,,,"Kufstein, Tirol, Austria",,A corporate center and the first coworking center in Tirol and provides jobs together with associated office infrastructure.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://basislager-tirol.at/,,,,
Elevator Lab powered by Raiffeisen Bank International,https://www.crunchbase.com/organization/elevator-lab-by-raiffeisen-bank-international,Accelerator,,,"Vienna, Wien, Austria",,Elevator Lab is a leading Fintech Partnership Program powered by Raiffeisen Bank International AG (RBI).,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.elevator-lab.com/,https://www.linkedin.com/showcase/elevator-lab/,,,
SBA Research,https://www.crunchbase.com/organization/sba-research,Accelerator,,,"Vienna, Wien, Austria","Grant, Seed",Research center & accelerator for information security,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-04-01,day,http://www.sba-research.org,https://www.linkedin.com/company/secure-business-austria,,,
BWS Invest,https://www.crunchbase.com/organization/bws-invest,"Co-Working Space, Entrepreneurship Program, Incubator, Venture Capital",,,"Salzburg, Salzburg, Austria","Early Stage Venture, Seed","SaaS, hospitality, new energy, gaming, esports, human resources, food","European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-04-18,day,https://www.bws-invest.com,https://www.linkedin.com/company/bws-invest-gmbh,,,
Coworking Feldkirch,https://www.crunchbase.com/organization/coworking-feldkirch-2,Co-Working Space,,,"Feldkirch, Vorarlberg, Austria",,"Coworking was conceived as a place where the culture of this human can be maintained, while also having fun.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.coworking.at/,,,,
Studio Totale,https://www.crunchbase.com/organization/studio-totale,Co-Working Space,,,"Vienna, Wien, Austria",,"Foto/Film Studio, Coworking Space (barrierefrei).","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://studiototale.at/,,,,
Seedraisr,https://www.crunchbase.com/organization/seedraisr,Accelerator,,,"Vienna, Wien, Austria",Early Stage Venture,Seedraisr is a startup and scaleup fundraising service that helps early-stage enterprises in raising capital.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-09-01,day,https://seedraisr.com,https://www.linkedin.com/company/seedraisr,,,
Coworking bei EN GARDE in Graz,https://www.crunchbase.com/organization/coworking-bei-en-garde-in-graz,Co-Working Space,,,"Graz, Steiermark, Austria",,The strategic design agency EN GARDE rents new coworking -Spaces associated with comprehensive office infrastructure and a large terrace.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.engarde.net/co-working-graz,https://www.linkedin.com/company/en-garde,,,
Creators Expedition,https://www.crunchbase.com/organization/creators-expedition,Accelerator,,,"Graz, Steiermark, Austria",,"Creators Expedition drives automotive startups and cutting edge technologies in the area of Electric Mobility, Autonomous Driving.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.creators-expedition.com/,https://www.linkedin.com/company/creators-expedition/,,,
Hafen11,https://www.crunchbase.com/organization/hafen11-2,Co-Working Space,,,"Klagenfurt, Karnten, Austria",,Hafen11 - coworking space Klagenfurt.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.hafen11.at/,,,,
Coworking Salzburg,https://www.crunchbase.com/organization/coworking-salzburg,Co-Working Space,,,"Salzburg, Salzburg, Austria",,Coworking Salzburg provides rooms on rent.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,http://coworkingsalzburg.com,https://www.linkedin.com/company/coworkingsalzburg,,,
Zentrum Für Angewandte Technologie,https://www.crunchbase.com/organization/zentrum-für-angewandte-technologie,Incubator,,,"Leoben, Steiermark, Austria",,Academic Business Incubator of the University of Leoben and the town of Leoben.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.zat.co.at,,,,
Elevate,https://www.crunchbase.com/organization/elevate-de15,Accelerator,,,"Vienna, Wien, Austria",Seed,"ELEVATE is an acceleration program for startups in the process of building a company for machine learning, AI or conversational interfaces. ","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://theventury.com/elevate/,,,,
sektor5,https://www.crunchbase.com/organization/sektor5-2,Co-Working Space,,,"Vienna, Wien, Austria",,"sektor5 provides affordable, rentable desk space in their open plan office in Vienna-city for freelancers, designers, startups and more.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.sektor5.at/,https://www.linkedin.com/company/sektor5-coworking-spaces-vienna,,,
Konnex Communities,https://www.crunchbase.com/organization/konnex-communities,Co-Working Space,,,"Vienna, Wien, Austria",,Coworkingspaces Schraubenfabrik and Rochus Park.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.konnex.cc,,,,
WOW Coworking Space,https://www.crunchbase.com/organization/wow-coworking-space,Co-Working Space,,,"Villach, Karnten, Austria",,WOW Coworking Space,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,
TKVP Capital Ventures EU,https://www.crunchbase.com/organization/tkvp-capital-ventures-eu,"Accelerator, Angel Group",,,"Vienna, Wien, Austria","Debt, Early Stage Venture, Private Equity, Seed",Investment Firm,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-04-01,day,,,,,
