Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
xista science ventures,https://www.crunchbase.com/organization/xista,Venture Capital,27,,"Klosterneuburg, Niederosterreich, Austria","Early Stage Venture, Seed",We invest in visionary science start-ups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-12-01,month,https://xista.vc/,https://www.linkedin.com/company/xsv/,17,18,
DuckDAO,https://www.crunchbase.com/organization/duckdao,"Incubator, Venture Capital",22,,"Vienna, Wien, Austria",Early Stage Venture,DuckDAO is a community-backed incubator powered by a network of engaged investors in the digital asset ecosystem.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://duckdao.io/,https://www.linkedin.com/company/duckdao,22,,
Gateway Ventures,https://www.crunchbase.com/organization/primecrowd,Venture Capital,18,,"Vienna, Wien, Austria","Early Stage Venture, Seed, Venture",Austria's largest network for startup investors,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-12-01,month,https://www.gateway.ventures,https://www.linkedin.com/company/gatewayventure,14,2,
European Super Angels Club,https://www.crunchbase.com/organization/european-super-angels-club,"Angel Group, Family Investment Office, Venture Capital",18,3,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Seed, Venture",The European Super Angels Club is a network of investors and offers its members access to international co-investments of European startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-17,day,https://superangels.club,https://www.linkedin.com/company/europeanangels,9,6,
Michael Grabner Media GmbH,https://www.crunchbase.com/organization/michael-grabner-media-gmbh,Venture Capital,18,5,"Vienna, Wien, Austria",Early Stage Venture,"Michael Grabner Media is a venture capital firm that offers seed, startup, early stage, and growth capital investments.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.michaelgrabner.com/,,16,6,
Syntaxis Capital,https://www.crunchbase.com/organization/syntaxis-capital,"Private Equity Firm, Venture Capital, Venture Debt",17,12,"Vienna, Wien, Austria",,Syntaxis is an independent specialist junior capital advisor that finances private mid-market companies in Central Europe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.syntaxis-capital.com,https://www.linkedin.com/company/syntaxis-capital/about/,17,5,
i4g Investment,https://www.crunchbase.com/organization/i4g-investment-gmbh,Venture Capital,15,2,"Vienna, Wien, Austria","Early Stage Venture, Private Equity, Venture",Private owned Investment Company,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-05-01,month,https://www.i4g.at,,7,6,
Onsight Ventures,https://www.crunchbase.com/organization/onsight-ventures,Venture Capital,14,,"Innsbruck, Tirol, Austria","Early Stage Venture, Seed",Pan-european early-stage deep-tech VC,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-11-01,month,https://www.onsight.vc,https://www.linkedin.com/company/76986714/,12,,
startup300,https://www.crunchbase.com/organization/startup300,Venture Capital,14,1,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed",startup300 operates as an angel investor network and business accelerator offering services to Austrian startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://startup300.at,https://www.linkedin.com/company-beta/10393303/,11,1,
OOE Hightechfonds GmbH,https://www.crunchbase.com/organization/hightechfonds,"Incubator, Startup Competition, Venture Capital",14,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed","A venture capital fund based in Linz, Austria. Invests in domestic start-ups and SMEs that develop and market high-tech products/services.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.hightechfonds.at/,https://www.linkedin.com/company/hightechfonds,14,,
B&C Innovation Investments,https://www.crunchbase.com/organization/b-c-innovation-investments,Venture Capital,13,,"Vienna, Wien, Austria","Early Stage Venture, Late Stage Venture, Venture",B&C Innovation Investments invests in industrial tech scaleups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://bcgruppe.at/en/innovation-investments/,https://www.linkedin.com/company/bcgruppe,11,5,
QC·VENTURES,https://www.crunchbase.com/organization/q-capital-ventures,Venture Capital,13,2,"Vienna, Wien, Austria","Early Stage Venture, Late Stage Venture",QC·VENTURES is a VC investment platform of Q·ADVISERS,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.qc-ventures.com,https://www.linkedin.com/company/1598594/,11,3,
Segnalita,https://www.crunchbase.com/organization/segnalita,Venture Capital,12,,"Wattens, Tirol, Austria",Early Stage Venture,Segnalita is based on the entrepreneurial legacy of Gernot Langes-Swarovski and the vision of sustainably creating long-term values.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.segnalita.com/,,5,2,
TBA Tyrolean Business Angel,https://www.crunchbase.com/organization/tba-tyrolean-business-angel,"Private Equity Firm, Venture Capital",11,1,"Innsbruck, Tirol, Austria","Early Stage Venture, Seed",TBA Tyrolean Business Angel supports technology-oriented business-to-business (B2B) startups in early phases.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-09-01,month,https://t-ba.eu,https://www.linkedin.com/in/kurtkofler/,10,1,
Triple Impact Ventures,https://www.crunchbase.com/organization/triple-impact-ventures,"Angel Group, Family Investment Office, Venture Capital",10,,"Vienna, Wien, Austria","Early Stage Venture, Seed","VC family office investing in (pre)-seed tech startups tackling climate, biodiversity & pollution crises","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-03-01,month,https://www.triple-impact.ventures,https://www.linkedin.com/company/triple-impact-ventures,9,,
Venionaire Capital,https://www.crunchbase.com/organization/venionaire-capital,"Private Equity Firm, Venture Capital",10,1,"Vienna, Wien, Austria","Early Stage Venture, Private Equity, Seed, Venture","Venionaire Capital is a specialized in the fields of angel capital, venture capital and corporate finance.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-09-26,day,http://www.venionaire.com,https://www.linkedin.com/company/6432973,9,3,
AC & Friends,https://www.crunchbase.com/organization/ac-friends,Venture Capital,10,4,"Vienna, Wien, Austria",,AC & Friends is focus their investments on seed- and early-stage startups with no restriction regarding industry.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.acandfriends.at/,https://www.linkedin.com/company/ac-&-friends-gmbh/about/,9,4,
Hardlymountain,https://www.crunchbase.com/organization/hardlymountain,"Angel Group, Venture Capital",9,,"Baden, Niederosterreich, Austria",Seed,Hardlymountain Capital is passionate about establishing outstanding software startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-08-24,day,https://www.hardlymountain.com/,https://www.linkedin.com/company/hardlymountain,8,,
Fund F,https://www.crunchbase.com/organization/fund-f,Venture Capital,8,,"Vienna, Wien, Austria",Seed,The European Venture Fund that backs gender-diverse founder teams.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://fund-f.com/,https://www.linkedin.com/company/fund_f/,7,2,
Pioneers Ventures,https://www.crunchbase.com/organization/pioneers-ventures,"Micro VC, Venture Capital",8,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed","Pre-seed investor empowering outstanding European startups with our global network of corporates, industry experts and entrepreneurs.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-05-28,day,http://www.pioneersventures.com,https://www.linkedin.com/company/pioneers-ventures,7,2,
FSP Ventures,https://www.crunchbase.com/organization/fsp-ventures,Venture Capital,8,,"Vienna, Wien, Austria",Venture,"An independent venture capital fund focused on investments in innovative, technology-oriented companies in the cleantech sector.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.fspventures.com/home/,,8,4,
KK Incube Invest,https://www.crunchbase.com/organization/kk-incube-invest,Venture Capital,8,1,"Vienna, Wien, Austria",,KK Incube Invest is a team of professionals focused on investment management.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.kkincube.com,,5,2,
Peak Pride,https://www.crunchbase.com/organization/peak-pride,"Private Equity Firm, Venture Capital",7,1,"Vienna, Wien, Austria","Early Stage Venture, Private Equity","Multi family office investing in proptech, digital health & sustainability","European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://peak-pride.com/,https://www.linkedin.com/company/peak-pride-management/,6,1,
red-stars.com,https://www.crunchbase.com/organization/red-stars-com,Venture Capital,7,1,"Vienna, Wien, Austria","Early Stage Venture, Seed, Venture",red-stars invests in and manages companies that provide mission critical products and offerings for Digitalization and Life Sciences,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,https://www.red-stars.com/,https://www.linkedin.com/company/red-stars-com/about/,6,7,
SFG Steirische Wirtschaftsförderungsgesellschaft m.b.H,https://www.crunchbase.com/organization/steirische-beteiligungsfinanzierungsgesellschaft,Venture Capital,6,1,"Graz, Steiermark, Austria","Early Stage Venture, Seed",Financing for startups in Styria,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1991-01-01,year,http://www.sfg.at/,https://www.linkedin.com/company/sfg---steirische-wirtschaftsförderung,6,1,
Allinvest,https://www.crunchbase.com/organization/allinvest-unternehmensbeteiligungs-gmbh,"Private Equity Firm, Venture Capital",6,,"Vienna, Wien, Austria",Early Stage Venture,Allinvest Unternehmensbeteiligungs GmbH was founded to bundle the diverse corporate interests of the Gröller family.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.allinvest.at/,,6,3,
Haller Capital,https://www.crunchbase.com/organization/haller-capital,"Government Office, Venture Capital",6,,"Vienna, Wien, Austria","Early Stage Venture, Grant, Seed","Haller Capital is an Austrian investment fund specialized in seed- and early-stage venture, and grant investments.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,6,,
Symbia VC,https://www.crunchbase.com/organization/symbia-vc,"Corporate Venture Capital, Venture Capital",5,,"Innsbruck, Tirol, Austria",Venture,Symbia VC is an energetic venture capital firm that serves as a sparring partner for innovative entrepreneurs and businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.symbia-vc.com/,https://www.linkedin.com/company/symbiavc/,4,,
Findus Venture,https://www.crunchbase.com/organization/findus-venture,Venture Capital,5,,"Goldworth, Oberosterreich, Austria","Early Stage Venture, Seed",Findus invests in DeepTech companies with sustainable business models that are to be used for the benefit of mankind.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://findus-venture.com/,,3,2,
Zen11 Holdings,https://www.crunchbase.com/organization/zen11-holdings,"Family Investment Office, Private Equity Firm, Venture Capital",5,,"Graz, Steiermark, Austria",Early Stage Venture,Zen11 Holdings operates as an investment firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.zen11holding.com/,https://www.linkedin.com/company/zen-11-holding-gmbh/,5,1,
Square One Foods,https://www.crunchbase.com/organization/square-one-foods,Venture Capital,5,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed",Strategic Partner for Food and Beverage startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.squareonefoods.com/,https://www.linkedin.com/company/squareonefoods/,5,1,
CONDA Crowdinvesting Österreich,https://www.crunchbase.com/organization/conda,Venture Capital,4,,"Vienna, Wien, Austria",Crowdfunding,CONDA is Full-service Crowdinvesting-Platform to boost up Austrian StartUps,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.conda.at/,https://www.linkedin.com/company/conda-unternehmensberatungs-gmbh,4,2,
Vehiculum Capital,https://www.crunchbase.com/organization/vehiculum-capital,Venture Capital,4,,"Vienna, Wien, Austria","Early Stage Venture, Seed","Vehiculum Capital operates a rolling fund, evolving focus on pre-seed/seed deeptech startups.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2023-01-01,year,https://www.vehiculum.capital/,https://www.linkedin.com/company/vehiculum-capital/,4,,
Hermann Hauser Investment,https://www.crunchbase.com/organization/hermann-hauser-investment,Venture Capital,4,,"Innsbruck, Tirol, Austria","Early Stage Venture, Seed, Venture","Hermann Hauser investment company invests in start-ups from the DACH region, in the seed and Series A phases.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.hhi.ventures/,https://www.linkedin.com/company/hermann-hauser-investment-gmbh/,4,,
Growth Ninjas,https://www.crunchbase.com/organization/growth-ninjas-gmbh,"Accelerator, Incubator, Venture Capital",4,1,"Vienna, Wien, Austria","Early Stage Venture, Seed","Supporting startups, SMEs and Corporates in funding, growth and digitization","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-09-01,day,https://www.growth-ninjas.com/,https://www.linkedin.com/company/growth-ninjas/,4,,
WaVe-X,https://www.crunchbase.com/organization/wave-x,Venture Capital,4,,"Wiener Neudorf, Niederosterreich, Austria","Early Stage Venture, Seed","WaVe-X, the investment subsidiary of the Walter Group.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://www.wave-x.vc,https://www.linkedin.com/company/wave-x-holding/,4,,
Global Equity Partners Beteiligungs-Management,https://www.crunchbase.com/organization/global-equity-partners-beteiligungs-management,Venture Capital,4,2,"Vienna, Wien, Austria",Early Stage Venture,"Global Equity Partners Beteiligungs-Management, a private equity and venture capital firm, specializes in the expansion financing of SMEs.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.gep.at,https://www.linkedin.com/company/global-equity-partners,3,1,1
Elevation Investments,https://www.crunchbase.com/organization/elevation-investments,"Angel Group, Venture Capital",4,1,"Vienna, Wien, Austria","Early Stage Venture, Seed",Captures investment opportunities in the segment of PERSONAL GROWTH,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-04-01,month,https://www.elevation-investments.com,,3,,
New Renaissance Ventures,https://www.crunchbase.com/organization/new-renaissance-ventures,"Micro VC, Venture Capital",3,,"Vienna, Wien, Austria",Seed,New Renaissance Ventures is the first dedicated tech fund for the Cultural and Creative Industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2023-10-01,month,https://www.nr.ventures/,https://www.linkedin.com/company/new-renaissance-ventures/,3,,
Soravia,https://www.crunchbase.com/organization/soravia,"Private Equity Firm, Venture Capital",3,,"Vienna, Wien, Austria",Private Equity,Soravia Group stands for success in real estate project development and corporate investments .,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1989-01-01,year,https://www.soravia.at/,https://www.linkedin.com/company/soravia-group-gmbh/,1,1,
Techsoft Invest,https://www.crunchbase.com/organization/techsoft-invest,Venture Capital,3,,"Linz, Oberosterreich, Austria",,Techsoft Invest is an investment and consulting company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.techsoft-invest.at,,3,2,
PP Capital,https://www.crunchbase.com/organization/pp-capital,Venture Capital,3,1,"Vienna, Wien, Austria",,PP Capital AG provides financial services.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,https://www.ppcapital.at/,,3,,
Mpoweru GmbH,https://www.crunchbase.com/organization/mpoweru-gmbh,Venture Capital,3,,"Vienna, Wien, Austria",Seed,"At Mpoweru, we're passionate about fueling innovation and empowering the next generation of entrepreneurs.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://mpoweru.at/,https://www.linkedin.com/company/mpoweru-gmbh/,3,,
HBA Beteiligungs GmbH,https://www.crunchbase.com/organization/hba-beteiligungs,"Private Equity Firm, Venture Capital",3,1,"Graz, Steiermark, Austria","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",HBA Beteiligungs GmbH provides and offers legal services to various industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1999-03-17,day,https://www.hba.at,https://www.linkedin.com/company/hbarechtsanwaelte,3,1,
KREISEL Ventures,https://www.crunchbase.com/organization/kreisel-ventures,Venture Capital,3,,"Freistadt, Oberosterreich, Austria",,The investment company of Walter Kreisel,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-03-28,day,https://www.walterkreisel.com,https://www.linkedin.com/company/kreiselventures,1,,
Next Floor,https://www.crunchbase.com/organization/next-floor-tacc,"Accelerator, Angel Group, Venture Capital",3,,"Salzburg, Salzburg, Austria","Convertible Note, Seed",Accelerator for Travel and Tourism startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://tacc.next-floor.at/,https://www.linkedin.com/company/next-floor-gmbh/about/,3,2,
Steep Ventures,https://www.crunchbase.com/organization/steep-ventures,Venture Capital,3,,"Vienna, Wien, Austria","Early Stage Venture, Seed, Venture",Steep Ventures is an investment platform that helps tech founders to start building global businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://steep.vc/,https://www.linkedin.com/company/steep-ventures/,3,,
Danube Angels,https://www.crunchbase.com/organization/danube-angels,"Private Equity Firm, Venture Capital",3,,"Vienna, Wien, Austria","Crowdfunding, Early Stage Venture, Late Stage Venture, Venture",Venture Capital und Private Equity,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.danubeangels.com/en/,https://www.linkedin.com/company/danube-angels/about/,3,2,
ALTERDYNE ENERGY,https://www.crunchbase.com/organization/alterdyne-energy,Venture Capital,3,,"Vienna, Wien, Austria",,Expert for project scouting in renewable energy,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-08-01,day,https://alterdyne.energy/contact,https://www.linkedin.com/company/alterdyne/,1,,
Graphit NeoTaste,https://www.crunchbase.com/organization/graphit-neotaste,"Family Investment Office, Venture Capital",2,,"Ellmau, Tirol, Austria","Early Stage Venture, Seed",Graphit NeoTaste is an family investment office.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.graphit-neotaste.com/,https://www.linkedin.com/company/graphit-neotaste/posts/?feedView=all,2,2,
Katharo Ventures,https://www.crunchbase.com/organization/katharo-ventures,Venture Capital,2,,"Vienna, Wien, Austria","Seed, Venture",Katharo Ventures by Wolfang Platz,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.katharo-ventures.com/,https://www.linkedin.com/company/katharo-ventures,2,1,
Breeze Invest,https://www.crunchbase.com/organization/breeze-invest,"Private Equity Firm, Venture Capital",2,,"Wiener Neustadt, Niederosterreich, Austria","Private Equity, Seed, Venture",Breeze Invest is a private investment firm that provides strategic capital to start-ups and SMEs with a defined growth strategy.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,https://breeze-invest.at/en/team,https://www.linkedin.com/company/breeze-invest,2,,
Big Cheese Ventures,https://www.crunchbase.com/organization/big-cheese-ventures,Venture Capital,2,,"Vienna, Wien, Austria",,We are an advisory and M&A company for high-potential tech startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-12-01,month,http://www.bigcheese.io,https://www.linkedin.com/company/big-cheese-ventures/,2,,
Motec ventures,https://www.crunchbase.com/organization/motec-ventures-gmbh,Venture Capital,2,,"Vienna, Wien, Austria","Seed, Venture",A growth fund for leading medium-sized companies: a smart mobility venture platform at the interface between SMEs and start-ups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.motec.vc,https://www.linkedin.com/company/motec-ventures/,1,,
Blue Value,https://www.crunchbase.com/organization/blue-value,Venture Capital,2,,"Eferding, Oberosterreich, Austria","Early Stage Venture, Seed",Blue Value invests capital and increases the profitability and market value of the company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-02-25,day,http://bluevalue.at/,,1,,
RKP InnoInvest,https://www.crunchbase.com/organization/rkp-innoinvest,Venture Capital,2,,"Hartberg, Steiermark, Austria",,RKP InnoInvest provides Investment capital and strategic services support progressive and dynamic start-ups and companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://innoinvest.rkp.at/,https://www.linkedin.com/company/rkp-innoinvest/,2,1,
Peiffer New Solutions,https://www.crunchbase.com/organization/peiffer-new-solutions,Venture Capital,2,1,"Traun, Oberosterreich, Austria",,Venture capital investor of Austrian Pfeiffer Group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.pfeiffernewsolutions.at,,2,1,
Sterling Oak Group,https://www.crunchbase.com/organization/sterling-oak-group,Venture Capital,2,,"Salzburg, Salzburg, Austria",,Sterling Oak Group is an investment company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.sterling-oak.com/,https://www.linkedin.com/company/sterlingoak/,2,,
4u-ventures,https://www.crunchbase.com/organization/4u-ventures,Venture Capital,2,,"Pfaffstatten, Niederosterreich, Austria",Seed,4u-ventures develops financing strategies for technical and economic expertise are provided and networking with the ideal network.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.4u-ventures.com/,https://www.linkedin.com/company/4u-ventures/,2,,
YEurope,https://www.crunchbase.com/organization/yeurope,Venture Capital,2,,"Vienna, Wien, Austria",Seed,"In terms of globally successful technology startups, Europe has failed to deliver and falls far behind.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,2,,
RFID Invest,https://www.crunchbase.com/organization/rfid-invest,Venture Capital,2,,"Dornbirn, Vorarlberg, Austria",,RFID Invest AG is a venture capital firm specializing in mid venture investments. The firm seeks to invest in RFID and green technology,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-01-01,year,,,1,1,
Wiener Wachstumsfonds,https://www.crunchbase.com/organization/wiener-wachstumsfonds,Venture Capital,2,1,"Vienna, Wien, Austria",Early Stage Venture,Wiener Wachstumsfonds was founded in 2005,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-01-01,year,http://www.wiener-wachstumsfonds.at,,2,1,
trive studio,https://www.crunchbase.com/organization/trive-studio,Venture Capital,1,,"Vienna, Wien, Austria","Early Stage Venture, Seed",trive is a startup studio building human-centered solutions.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-12-01,month,https://trive.studio,https://www.linkedin.com/company/trive-studio,1,,
Smart Family Office,https://www.crunchbase.com/organization/smart-family-office,"Family Investment Office, Private Equity Firm, Venture Capital, Venture Debt",1,,"Salzburg, Salzburg, Austria","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Venture","Smart Family Office offers asset allocation strategies, trust fund solutions, and philanthropic partnerships for family wealth management.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.smartfamilyoffice.com/,https://www.linkedin.com/company/smartfamilyoffice,1,1,
