Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
UBS,https://www.crunchbase.com/organization/ubs,"Corporate Venture Capital, Fund Of Funds, Investment Bank, Private Equity Firm, Venture Capital",118,30,"Zürich, Zurich, Switzerland","Convertible Note, Debt, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Venture","UBS is a global financial services company that engages in wealth management, investment banking, asset management, and retail banking.","Europe, Middle East, and Africa (EMEA)",1862-01-01,day,https://www.ubs.com,http://www.linkedin.com/company/ubs,101,41,18
Highland Europe,https://www.crunchbase.com/organization/highland-capital-partners-europe,Venture Capital,113,24,"Geneva, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Venture","Highland Europe is a growth-stage technology fund that invests in European internet, mobile, and software companies.","Europe, Middle East, and Africa (EMEA)",2012-11-07,day,http://www.highlandeurope.com/,https://www.linkedin.com/company/highland-europe,71,65,
VI Partners,https://www.crunchbase.com/organization/vi-partners,Venture Capital,103,20,"Altendorf, Schwyz, Switzerland","Convertible Note, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Healthcare & Technology Venture Capital since 2001,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.vipartners.ch/,https://www.linkedin.com/company/vi-partners-ag,60,24,6
Alpana Ventures,https://www.crunchbase.com/organization/alpana-ventures,Venture Capital,97,10,"Geneva, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Seed",Alpana Ventures is a leading Swiss VC focusing on digital transformation. Since 2016 we backed 45 founder teams with 3 Funds,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://alpana-ventures.ch/,https://www.linkedin.com/company/alpana-ventures/,43,12,
Nextech Invest,https://www.crunchbase.com/organization/nextech-invest,Venture Capital,87,37,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Venture","Nextech Invest is a venture capital and private equity firm specializing in early, mid-stage, late-stage, and emerging growth.","Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.nextechinvest.com,https://www.linkedin.com/company/nextech-invest-ltd.,58,25,28
Business Angels Switzerland (BAS),https://www.crunchbase.com/organization/business-angels-switzerland-bas,Venture Capital,86,4,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed",Business Angels Switzerland (BAS) is an association providing financing and coaching to startup's,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,http://www.businessangels.ch/,http://www.linkedin.com/company/business-angels-switzerland,70,24,
Emerald Technology Ventures,https://www.crunchbase.com/organization/emerald-technology-ventures,Venture Capital,84,12,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture",Emerald Technology Ventures specializes in clean technology venture capital.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.emerald-ventures.com/,https://www.linkedin.com/company/emerald-technology-ventures/,59,36,
BioMedPartners,https://www.crunchbase.com/organization/biomedpartners,Venture Capital,84,21,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Late Stage Venture",BioMedPartners is one of the leading European venture capital firms.,"Europe, Middle East, and Africa (EMEA)",2003-01-01,year,http://www.biomedvc.com,https://www.linkedin.com/company/biomedpartners,46,27,8
Blue Horizon Corporation,https://www.crunchbase.com/organization/blue-horizon-corporation,"Private Equity Firm, Venture Capital",79,3,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Blue Horizon is an investment firm that invests in companies and businesses in the agriculture and food processing sector.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.bluehorizon.com/,https://www.linkedin.com/company/bluehorizoncorp/,65,20,
Founderful,https://www.crunchbase.com/organization/wingman-897a,Venture Capital,72,4,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed",Founderful operates as a venture capital firm and a Switzerland’s leading pre-seed fund.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.founderful.com,https://www.linkedin.com/company/11095684,51,39,
Momenta,https://www.crunchbase.com/organization/momenta-ventures,Venture Capital,71,8,"Meggen, Luzern, Switzerland","Early Stage Venture, Seed, Venture","Industrial Impact venture capital + growth firm accelerating digital innovation in the energy, manufacturing, smart spaces, and supply chain","Europe, Middle East, and Africa (EMEA)",2012-10-01,day,https://www.momenta.one,https://www.linkedin.com/company/momentaone/,56,35,1
Endeavour Vision,https://www.crunchbase.com/organization/endeavour-vision,Venture Capital,67,20,"Geneva, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Private Equity, Venture",Endeavour Vision is a growth-stage investor that invests in growth-stage medtech and digital health companies in Europe and the US.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.endeavourvision.com,https://www.linkedin.com/company/endeavour-vision,39,19,5
Serpentine Ventures,https://www.crunchbase.com/organization/serpentine-ventures,Venture Capital,66,3,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed, Venture",Serpentine Ventures (SERV) is the investment arm of the Swiss startup group.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.serpentine.vc,https://www.linkedin.com/company/serpentineventures/?originalSubdomain=ch,47,12,1
HBM Partners,https://www.crunchbase.com/organization/hbm-partners,"Private Equity Firm, Venture Capital",55,22,"Zug, Zug, Switzerland","Early Stage Venture, Late Stage Venture",HBM Partners was founded in 2001 with the goal to invest in private and public emerging biopharma and other healthcare-related companies.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.hbmpartners.com,https://www.linkedin.com/company/hbm-partners-ag/,42,8,12
Reference Capital SA,https://www.crunchbase.com/organization/Reference-Capital-SA,Venture Capital,54,23,"Genève, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture","Investing in venture capital Funds (US, EU, IL, CN, IN) and direct (digital, sustainability, health).","Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.referencecap.com/,https://www.linkedin.com/company/referencecap,34,,7
responsAbility Investments,https://www.crunchbase.com/organization/responsability-2,"Private Equity Firm, Venture Capital",53,6,"Zürich, Zurich, Switzerland","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Venture","responsAbility Investments is an investment firm that specializes in asset management, financial sector, and renewable energy investments.","Europe, Middle East, and Africa (EMEA)",2003-05-13,day,http://www.responsability.com,https://www.linkedin.com/company/responsability-investments/,45,29,5
Syngenta Ventures,https://www.crunchbase.com/organization/syngenta-ventures,Venture Capital,53,6,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture",Syngenta is an agriculture company helping to improve global food security by enabling farmers to make better use of available resources.,"Europe, Middle East, and Africa (EMEA)",2000-11-13,day,https://www.syngentaventures.com,,32,9,3
CV VC,https://www.crunchbase.com/organization/cv-vc,Venture Capital,50,1,"Zug, Zug, Switzerland","Early Stage Venture, Seed","CV VC is an investment company, where cutting-edge blockchain technology meets traditional venture capital.","Europe, Middle East, and Africa (EMEA)",2018-09-20,day,https://cvvc.com/,https://www.linkedin.com/company/cvvc/,44,8,
BackBone Ventures,https://www.crunchbase.com/organization/backbone-ventures,Venture Capital,49,3,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Seed, Venture","BackBone Ventures focuses on early-stage investments primarily in ​​innovative ICT, food tech, and disruptive technologies.","Europe, Middle East, and Africa (EMEA)",2018-02-14,day,https://www.backbone.vc,https://www.linkedin.com/company/backbone-ventures/,34,13,
Technology Fund,https://www.crunchbase.com/organization/technology-fund,Venture Capital,48,4,"Zürich, Zurich, Switzerland","Debt, Early Stage Venture, Seed",Climate protection through innovative technologies,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://technologyfund.ch/,https://www.linkedin.com/company/technology-fund,43,32,
BB Biotech Ventures,https://www.crunchbase.com/organization/bb-biotech-ventures,Venture Capital,48,12,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture, Private Equity","BB BIOTECH VENTURES is a healthcare-dedicated venture capital fund, focused on companies that develop and market drugs and medical devices.","Europe, Middle East, and Africa (EMEA)",1993-11-09,day,http://www.bbbiotechventures.com,,28,5,10
Swiss Founders Fund,https://www.crunchbase.com/organization/swiss-founders-fund-ag,Venture Capital,42,5,"Saint Gallen, Sankt Gallen, Switzerland","Convertible Note, Early Stage Venture, Initial Coin Offering, Seed, Venture",Swiss Founders Fund is a seed and early stage investment fund based in Switzerland.,"Europe, Middle East, and Africa (EMEA)",2013-10-01,day,http://www.sff.vc/,https://www.linkedin.com/company/swiss-founders-fund-ag/,32,12,
Dialectic,https://www.crunchbase.com/organization/dialectic,"Private Equity Firm, Venture Capital",41,1,"Zug, Zug, Switzerland",Early Stage Venture,Dialectic is a Swiss capital enterprise focused on deployment of human and financial capital into alternative assets.,"Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://dialectic.ch/,https://www.linkedin.com/company/dialectic-ag,39,5,
NEAR Foundation,https://www.crunchbase.com/organization/near-foundation,"Private Equity Firm, Venture Capital",41,,"Zug, Zug, Switzerland",,"NEAR Foundation is a non-profit foundation that is responsible for contracting protocol maintainers, funding ecosystem development.","Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://near.foundation/,https://www.linkedin.com/company/near-foundation/,36,14,
Seier Capital,https://www.crunchbase.com/organization/seier-capital,Venture Capital,40,4,"Berne, Bern, Switzerland","Seed, Venture",Seier Capital is a private seed and venture capital that caters to companies across diverse industries.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.seiercapital.com/,https://www.linkedin.com/company/seier-capital/,38,15,
Beyond Impact,https://www.crunchbase.com/organization/beyond-impact-advisors,Venture Capital,39,3,"Montreux, Vaud, Switzerland",Early Stage Venture,Beyond Impact invests in products that are vegan cruelty-free and remove mankind’s reliance on the raising of animals for slaughter.,"Europe, Middle East, and Africa (EMEA)",2017-11-29,day,https://www.beyondimpact.vc,https://www.linkedin.com/company/beyond-impact-advisors/about/,28,2,1
Quan Technology Fund,https://www.crunchbase.com/organization/quan-technology-fund,Venture Capital,38,9,"Geneva, Geneve, Switzerland","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",Quan Technology Fund is a crossover fund investing in private and public technology companies.,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://www.quanfunds.com/,,22,,1
Übermorgen Ventures,https://www.crunchbase.com/organization/übermorgen-ventures,Venture Capital,37,,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed",We are an early stage venture fund backing entrepreneurs that build profitable solutions to fight climate change,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,http://uebermorgen.vc/,https://www.linkedin.com/company/%C3%BCbermorgen-ventures/,24,10,
EquityPitcher Ventures,https://www.crunchbase.com/organization/equitypitcher,Venture Capital,37,1,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture",EquityPitcher Ventures is an Early-Growth Venture Capital firm that supports promising B2B startups which are based in the DACH region.,"Europe, Middle East, and Africa (EMEA)",2016-07-08,day,https://equitypitcher.com/,https://www.linkedin.com/company/equitypitcher.com/,30,7,
RockawayX,https://www.crunchbase.com/organization/rockaway-blockchain,Venture Capital,36,1,"Zürich, Zurich, Switzerland","Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture","RockawayX is a traditional venture capital investor that offers funding and support for crypto funds, companies, and protocols.","Europe, Middle East, and Africa (EMEA)",2018-03-01,month,https://rockawayx.com/,https://www.linkedin.com/company/rockawayx,34,6,
French Partners,https://www.crunchbase.com/organization/french-partners,"Private Equity Firm, Venture Capital",36,4,"Geneva, Geneve, Switzerland",Early Stage Venture,French Partners is an investment club dedicated to accompany and finance companies led locally by French entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://frenchpartners.com/,https://www.linkedin.com/company/frenchpartners/,32,6,1
Laser Digital,https://www.crunchbase.com/organization/laser-digital,Venture Capital,35,,"Zürich, Zurich, Switzerland","Early Stage Venture, Initial Coin Offering, Seed, Venture",Laser Digital early-stage investor in companies building innovative institutional products and services in the digital asset ecosystem.,"Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://www.laserdigital.com/,https://www.linkedin.com/company/laserdigital,32,10,
BitScale,https://www.crunchbase.com/organization/bitscale-4998,Venture Capital,35,,"Zug, Zug, Switzerland","Early Stage Venture, Seed",BitScale invest in teams and solutions that bring transparency and efficiency.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,http://bitscale.capital/,,34,,
Wille Finance,https://www.crunchbase.com/organization/wille-finance,"Family Investment Office, Private Equity Firm, Venture Capital",34,4,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Wille Finance is a multi-family office, focusing on private equity, real estate, digital media and listed assets.","Europe, Middle East, and Africa (EMEA)",2007-01-01,year,https://www.willefinance.com/,https://in.linkedin.com/company/willefinance,29,5,1
Virtual Network,https://www.crunchbase.com/organization/virtual-network-sa,"Incubator, Private Equity Firm, Venture Capital",31,10,"Geneva, Geneve, Switzerland","Convertible Note, Early Stage Venture, Secondary Market, Seed",Virtual Network is a private company investing in digital assets & founders since 1997.,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://www.virtual-network.com/,https://www.linkedin.com/company/virtual-network-sa/?originalSubdomain=in,30,4,1
Aravis Ventures,https://www.crunchbase.com/organization/aravis-ventures,"Private Equity Firm, Venture Capital",31,13,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture",Aravis Ventures is a private equity firm that invests in renewable energy and life sciences sector.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.aravis.ch,http://www.linkedin.com/company/aravis,19,9,4
dRx Capital,https://www.crunchbase.com/organization/drx-capital,"Corporate Venture Capital, Venture Capital",30,3,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",Novartis Digital Health Venture Capital,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.drxcapital.com/,https://www.linkedin.com/company/drxcapital,20,4,3
Pureos Bioventures,https://www.crunchbase.com/organization/pureos-bioventures,Venture Capital,29,3,"Küsnacht, Zurich, Switzerland",Early Stage Venture,Pureos Bioventures is a new venture capital fund,"Europe, Middle East, and Africa (EMEA)",,,http://www.pureosbio.com/en/,https://www.linkedin.com/company/pureos-bioventures/,20,10,2
Helvetia Venture Fund,https://www.crunchbase.com/organization/helvetia-venture-fund,Venture Capital,29,3,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Seed, Venture",Helvetia Venture Fund invests in start-ups from the insurtech segment,"Europe, Middle East, and Africa (EMEA)",1858-01-01,year,http://www.helvetia.vc,https://www.linkedin.com/company/18929?trk=prof-exp-company-name,22,16,
Lakeside Invest & Consult,https://www.crunchbase.com/organization/lakeside-invest-consult-9909,"Angel Group, Venture Capital",29,1,"Kreuzlingen, Thurgau, Switzerland","Early Stage Venture, Seed, Venture",Lakeside Invest & Consult is angel investment & consulting firm offering seed & growth funding for promising seed & early-stage startups,"Europe, Middle East, and Africa (EMEA)",2015-01-22,day,https://lakesideinvest.com/,https://www.linkedin.com/company/lakesideinvest/,24,5,
Spicehaus Partners,https://www.crunchbase.com/organization/spicehaus-partners,Venture Capital,29,,"Zug, Zug, Switzerland","Early Stage Venture, Seed, Venture","Spicehaus Partners is an independent Swiss venture capital investor, focusing on early-stage companies in the technology sector.","Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://spicehaus.com/,https://www.linkedin.com/company/spicehauspartners,21,20,
Debiopharm Innovation Fund,https://www.crunchbase.com/organization/debiopharm-innovation-fund,Venture Capital,28,8,"Lausanne, Vaud, Switzerland","Early Stage Venture, Late Stage Venture, Venture",Debiopharm Innovation Fund offers a strategic investments in for companies and businesses.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.debiopharm.com/digital-health/,https://www.linkedin.com/company/debiopharminternational,25,15,3
Quadia,https://www.crunchbase.com/organization/quadia,"Venture Capital, Venture Debt",27,4,"Geneva, Geneve, Switzerland","Debt, Early Stage Venture, Seed, Venture",Quadia is a regulated investment manager specialized in social and environmental finance.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://quadia.ch/,https://www.linkedin.com/company/quadia-sa/,21,4,
#adm VENTURES,https://www.crunchbase.com/organization/adm-ventures,Venture Capital,27,11,"Lugano, Ticino, Switzerland",,#adm ventures is an advisory firm focused on digital and tech companies.,"Europe, Middle East, and Africa (EMEA)",2015-07-20,day,http://www.adm-ventures.com/,https://www.linkedin.com/in/teodorodambrosio,25,3,3
Swisscanto Private Equity,https://www.crunchbase.com/organization/swisscanto-invest,Venture Capital,27,4,"Zürich, Zurich, Switzerland",Late Stage Venture,"We invest in growth companies in the ""late-stage venture/growth capital"" phase, focussed on the technology and healthtech sectors.","Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.swisscanto.com/ch/,https://www.linkedin.com/showcase/swisscanto-invest-by-z%C3%BCrcher-kantonalbank/,18,12,
HackCapital,https://www.crunchbase.com/organization/foodhack,Venture Capital,25,,"Lausanne, Vaud, Switzerland","Early Stage Venture, Seed",HackCapital is a group of climatetech focused investors looking to back impact driven founders that move the needle towards a better future.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://hackcapital.co,https://www.linkedin.com/company/hackcapitalco/,24,1,
BitScale Capital,https://www.crunchbase.com/organization/bitscale-capital,Venture Capital,25,1,"Zug, Zug, Switzerland",Seed,BitScale Capital is the Investment firm.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://bitscale.vc,,24,1,
L1D,https://www.crunchbase.com/organization/l1-digital,"Fund Of Funds, Venture Capital",25,,"Zürich, Zurich, Switzerland","Late Stage Venture, Venture",Institutional Investing in Crypto,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.l1d.com,https://www.linkedin.com/company/l1digital,22,3,
TX Ventures,https://www.crunchbase.com/organization/tx-ventures,Venture Capital,24,1,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed, Venture",TX Ventures is an independent Fintech VC investing in the next generation of Finance.,"Europe, Middle East, and Africa (EMEA)",,,https://www.tx.ventures/,https://www.linkedin.com/showcase/tx-ventures-vc/,19,20,
ACE & Company,https://www.crunchbase.com/organization/ace-and-company,"Private Equity Firm, Secondary Purchaser, Venture Capital",24,2,"Geneva, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Private Equity, Seed",ACE & Company is a multi-stage private equity and venture capital group.,"Europe, Middle East, and Africa (EMEA)",2005-01-01,year,http://aceandcompany.com,https://in.linkedin.com/company/ace-&-company-development-group,22,1,1
Tomahawk.VC,https://www.crunchbase.com/organization/tomahawk-vc,Venture Capital,24,1,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed","Entrepreneur-led early stage venture capital firm. Pre-Seed, Seed and Series A. We value empathy, execution and clarity > hello@tomahawk.vc","Europe, Middle East, and Africa (EMEA)",2020-01-01,day,https://www.tomahawk.vc/,https://www.linkedin.com/company/tomahawk-vc,18,4,
Storm Global,https://www.crunchbase.com/organization/schindleram-ventures,"Private Equity Firm, Venture Capital",24,11,"Zürich, Zurich, Switzerland","Early Stage Venture, Private Equity, Secondary Market, Seed",Venture Capital and Private Equity firm,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.stormglobal.com,https://www.linkedin.com/company/stormglobal/about/,24,1,5
Planven Entrepreneur Ventures,https://www.crunchbase.com/organization/planven-investments,Venture Capital,23,5,"Zürich, Zurich, Switzerland","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Venture Capital Fund that invests in advanced technology solutions for fast growing B2B markets,"Europe, Middle East, and Africa (EMEA)",2015-05-28,day,http://www.planvenev.com/,https://www.linkedin.com/company/planven-entrepreneur-ventures/,12,6,
Infinitas Capital,https://www.crunchbase.com/organization/infinitas-capital-ag,"Family Investment Office, Venture Capital",23,4,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture",Single family office of Peter and Robin Lauber investing in residential Real Estate and Venture Capital opportunities,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://infinitas-capital.com/,https://www.linkedin.com/company/infinitas-capital-ag/,19,1,4
Invision Private Equity AG,https://www.crunchbase.com/organization/invision-private-equity-ag,"Private Equity Firm, Venture Capital",23,8,"Zug, Zug, Switzerland","Early Stage Venture, Private Equity",Invision is a Swiss private equity firm focusing on investments in growth companies in Europe.,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,http://www.invision.ch,http://www.linkedin.com/company/3307420,21,8,
Forestay Capital,https://www.crunchbase.com/organization/forestay-capital,"Family Investment Office, Venture Capital",23,3,"Genève, Geneve, Switzerland","Early Stage Venture, Late Stage Venture, Venture","Forestay Capital is dedicated to investing in the tech sector and reflects Waypoint’s focus on innovative, forward-looking industries.","Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.forestay.vc/,https://www.linkedin.com/company/forestay-capital/,16,13,
FiveT Fintech (formerly Avaloq Ventures),https://www.crunchbase.com/organization/fivet-fintech-formerly-avaloq-ventures,Venture Capital,22,3,"Zürich, Zurich, Switzerland","Debt, Early Stage Venture, Initial Coin Offering, Venture",VC focused on fintech,"Europe, Middle East, and Africa (EMEA)",2018-12-05,day,https://fivet.com/pages/fivet-fintech,https://www.linkedin.com/company/fivet-fintech/,19,7,
Conny & Co,https://www.crunchbase.com/organization/conny-co,"Family Investment Office, Venture Capital",22,5,"Wollerau, Schwyz, Switzerland","Early Stage Venture, Seed, Venture",Conny & Co is an investment company that co-invests into exclusive global deals together with the most active European super angel.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://connyandco.com/,https://www.linkedin.com/company/connyco/,18,,
Rianta Capital,https://www.crunchbase.com/organization/rianta-capital,Venture Capital,21,1,"Zürich, Zurich, Switzerland",Early Stage Venture,"Rianta Capital, a Swiss venture capital firm, provides investment advice and management support to trust funds and investment companies.","Europe, Middle East, and Africa (EMEA)",2006-01-01,year,,,19,5,
Persistent,https://www.crunchbase.com/organization/persistent,Venture Capital,21,1,"Zürich, Zurich, Switzerland",Early Stage Venture,Persistent invests in & builds impact ventures in underserved markets.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.persistent.energy/,https://www.linkedin.com/company/persistentnrg/,19,17,
R-301 Capital,https://www.crunchbase.com/organization/r-301-capital,Venture Capital,21,5,"Lugano, Ticino, Switzerland","Early Stage Venture, Late Stage Venture, Seed",R-301 Capital is an independent technology venture capital firm investing in technology start-ups across Europe.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.r301capital.com/#,https://www.linkedin.com/company/r-301-capital,16,2,
Helvetica Capital,https://www.crunchbase.com/organization/helvetica-capital,Venture Capital,20,6,"Zürich, Zurich, Switzerland",Early Stage Venture,"Helvetica Capital is an independent, entrepreneurial investor focusing on Swiss companies.","Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.helvetica-capital.ch/,https://www.linkedin.com/company/helvetica-capital-ag/,19,2,
LongeVC,https://www.crunchbase.com/organization/longevc,Venture Capital,18,1,"Lugano, Ticino, Switzerland","Early Stage Venture, Seed",LongeVC is an early-stage venture firm that focuses on high-impact investments in biotechnology and healthcare.,"Europe, Middle East, and Africa (EMEA)",2020-01-01,year,http://www.longevc.com/,https://www.linkedin.com/company/longevc,18,4,
