Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Endel,https://www.crunchbase.com/funding_round/endel-seed--279e317b,Endel,https://www.crunchbase.com/organization/endel,Seed,"Berlin, Berlin, Germany, Europe",1050000,EUR,1221791,2018-09-27,Seed,6000000,EUR,6981664,Yes,"Endel is a cross-platform audio ecosystem that creates personalized soundscapes to reduce stress, improve sleep, and boost productivity.","Mobile, Music, Personal Health, Productivity Tools, Smart Home",,http://endel.io,Less than $1M,21221791,USD,21221791,Early Stage Venture,6,Amazon Alexa Fund,"Amazon Alexa Fund, Avex USA, Kima Ventures, Plus Eight Equity Fund LP, Powerhouse Capital",5,,"102,173"
Venture Round - YUKKA Lab,https://www.crunchbase.com/funding_round/yukka-lab-series-unknown--6c95810b,YUKKA Lab,https://www.crunchbase.com/organization/yukka-lab,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,,,,,Yes,YUKKA Lab AG detects market sentiments and transforms them into innovative tools for the finance and communications industry.,"FinTech, Software",,https://www.yukkalab.com/,$1M to $10M,,,,,2,,EquityPitcher Ventures,1,,"103,594"
Seed Round - Unicorn Workspaces,https://www.crunchbase.com/funding_round/unicorn-berlin-seed--bd169fa5,Unicorn Workspaces,https://www.crunchbase.com/organization/unicorn-berlin,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-08-01,Seed,,,,Yes,Unicorn offers work solutions for teams of all sizes with flexible terms and independent of high market rental prices.,"Commercial Real Estate, Coworking, Office Administration",,http://unicorn.de,$1M to $10M,7000000,USD,7000000,,2,,"Alexander Koelpin, Florian Heinemann, Jens Hilgers, Lukasz Gadowski, Masoud Kamali, Matthias Spiess",6,,"146,490"
Series A - CANDIS,https://www.crunchbase.com/funding_round/candis-series-a--825456cd,CANDIS,https://www.crunchbase.com/organization/candis,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-09-25,Early Stage Venture,,,,Yes,CANDIS is Berlin-based company that offers an intelligent platform for automated accounting.,"Accounting, Artificial Intelligence (AI), Financial Services, FinTech, SaaS, Software",,https://candis.io,$1M to $10M,28900000,EUR,31204524,Late Stage Venture,5,Lightspeed Venture Partners,"42CAP, Fly Ventures, Lightspeed Venture Partners, Point Nine, Speedinvest",5,2,"142,731"
Pre Seed Round - DIZZBO,https://www.crunchbase.com/funding_round/dizzbo-pre-seed--7e3bbb1a,DIZZBO,https://www.crunchbase.com/organization/dizzbo,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,DIZZBO's innovative software matches shippers and carriers and makes the whole process as easy as online shopping.,"Fleet Management, Freight Service, Logistics, Software",,https://www.dizzbo.com,$1M to $10M,1780000,EUR,2161844,Seed,2,,,,,"105,320"
Grant - Minespider,https://www.crunchbase.com/funding_round/minespider-grant--20c9b72f,Minespider,https://www.crunchbase.com/organization/minespider,Grant,"Berlin, Berlin, Germany, Europe",71429,EUR,80865,2018-12-01,,,,,No,Sustainable supply chains for the EV future.,"Battery, Blockchain, Electric Vehicle, Mineral, Mining, Mining Technology",,http://www.minespider.com,$1M to $10M,2871429,EUR,3121323,,2,,EASME,1,,"151,212"
Seed Round - Garden,https://www.crunchbase.com/funding_round/garden-io-seed--9e4880d6,Garden,https://www.crunchbase.com/organization/garden-io,Seed,"Berlin, Berlin, Germany, Europe",1080000,EUR,1225460,2018-08-14,Seed,,,,Yes,"Garden is a DevOps platform providing production-like environments to build, manage and test cloud-native apps.","Cloud Data Services, Cloud Management, DevOps, Information Technology, Internet, IT Infrastructure, Mobile, Software",,https://garden.io/,$1M to $10M,18490000,EUR,20833374,M&A,3,Fly Ventures,"Fly Ventures, Samsung NEXT’s Q Fund",2,,"151,558"
Seed Round - ProNoblis,https://www.crunchbase.com/funding_round/pronoblisag-seed--6ffa59c6,ProNoblis,https://www.crunchbase.com/organization/pronoblisag,Seed,"Berlin, Berlin, Germany, Europe",209000,EUR,242148,2018-08-22,Seed,,,,Yes,ProNoblis – Speedy finance solutions for SMEs.,"Finance, Financial Services, FinTech, Small and Medium Businesses",,https://www.pronoblis.ag/de/,$1M to $10M,2250000,EUR,2497094,,3,Friends & Family,Friends & Family,1,,"151,774"
Seed Round - Contentflow,https://www.crunchbase.com/funding_round/contentflow-seed--00cbbd0c,Contentflow,https://www.crunchbase.com/organization/contentflow,Seed,"Berlin, Berlin, Germany, Europe",2000000,EUR,2275499,2018-10-29,Seed,,,,Yes,"Contentflow is the global Next-Gen SaaS solution for multichannel, independent live streaming for events, conferences and media coverage.","SaaS, Software, Video, Video Streaming",,https://contentflow.net,Less than $1M,4775499,USD,4775499,Seed,3,,"AET Fund, Betaworks, Speedinvest, VC Fonds Technologie Berlin",4,1,"155,588"
Pre Seed Round - ROOBEO GmbH,https://www.crunchbase.com/funding_round/roobeo-pre-seed--89b91b3e,ROOBEO GmbH,https://www.crunchbase.com/organization/roobeo,Pre-Seed,"Berlin, Berlin, Germany, Europe",750000,EUR,849075,2018-12-01,Seed,,,,Yes,A New Experience of Material Procurement in Craft and Construction Industry.,"Building Material, Construction",,https://www.roobeo.com/,,7600000,EUR,8376752,Early Stage Venture,3,,,,,"156,198"
Venture Round - Atheneum,https://www.crunchbase.com/funding_round/atheneum-partners-series-unknown--f67df8dd,Atheneum,https://www.crunchbase.com/organization/atheneum-partners,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",10000000,USD,10000000,2018-09-13,,,,,Yes,Atheneum is a knowledge sharing platform that offers corporations access to up-to-date market insights for better business decisions.,"Big Data, Business Intelligence, Information Services, Machine Learning, Market Research",,https://www.atheneum.ai,$10M to $50M,200733743,USD,200733743,,7,Crosslantic Capital,Crosslantic Capital,1,,"169,873"
Seed Round - Mobius Labs,https://www.crunchbase.com/funding_round/mobius-labs-seed--0b98535b,Mobius Labs,https://www.crunchbase.com/organization/mobius-labs,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-30,Seed,,,,Yes,"Mobius Labs develops cost-effective and scalable AI metadata solutions for applications, devices, and processes.",Information Technology,,https://mobiuslabs.com,$1M to $10M,7299144,USD,7299144,Early Stage Venture,3,Atlantic Labs,"APEX Ventures, Atlantic Labs",2,,"161,923"
Non Equity Assistance - Aivy,https://www.crunchbase.com/funding_round/aivy-ee53-non-equity-assistance--2d64fdad,Aivy,https://www.crunchbase.com/organization/aivy-ee53,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",88000,EUR,102683,2018-06-01,,,,,No,Scientific Diagnostic-SaaS that helps HR to achieve a 5x better pre-selection and avoid 30 % of their bad hires before the first interview.,"Artificial Intelligence (AI), Human Resources, Machine Learning, Mobile Apps, Psychology, SaaS",,https://www.aivy.app,Less than $1M,2158000,EUR,2278501,Seed,5,,,,,"169,150"
Series A - Habyt,https://www.crunchbase.com/funding_round/projects-series-a--a341450f,Habyt,https://www.crunchbase.com/organization/projects,Series A,"Berlin, Berlin, Germany, Europe",2000000,EUR,2291321,2018-12-20,Early Stage Venture,,,,Yes,Habyt is a housing company that simplifies housing access with digital-first solutions for tenants and landlords.,"Property Management, Real Estate, Rental, Rental Property",,https://www.habyt.com,$10M to $50M,109800000,EUR,121613709,,8,P101,P101,1,1,"120,657"
Angel Round - doctorly,https://www.crunchbase.com/funding_round/doctorly-angel--d5f9c7a8,doctorly,https://www.crunchbase.com/organization/doctorly,Angel,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Doctorly is a health tech company that offers a cloud-based practice management platform for doctors.,"Health Care, Medical, mHealth, SaaS, Software",,http://www.doctorly.de,Less than $1M,21090000,EUR,22707007,Early Stage Venture,6,The Delta,"Sascha Gartenbach, The Delta",2,1,"122,911"
Funding Round - BOCAhealthcare GmbH,https://www.crunchbase.com/funding_round/boca-health-undisclosed--3a0305c5,BOCAhealthcare GmbH,https://www.crunchbase.com/organization/boca-health,Funding Round,"Berlin, Berlin, Germany, Europe",25000,EUR,30839,2018-02-20,,,,,Yes,BOCAhealth is a patented portable device (connected to an app) that is able to measure and keep track of the hydration status.,"Fitness, Health Care, Medical, Mobile Apps",,https://www.boca-health.com/,Less than $1M,356800,EUR,402548,,8,,,,,"125,998"
Pre Seed Round - femtasy,https://www.crunchbase.com/funding_round/femtasy-pre-seed--a9a66556,femtasy,https://www.crunchbase.com/organization/femtasy,Pre-Seed,"Berlin, Berlin, Germany, Europe",310000,EUR,372334,2018-01-01,Seed,,,,Yes,"femtasy is the first audio streaming platform for female-centric erotica, with the world's largest selection - from vanilla to hardcore.","Audio, Media and Entertainment, Sex Tech, Subscription Service, Women's",,https://www.femtasy.com,$1M to $10M,3170000,EUR,3548335,Seed,4,,"Myke Naf, Thomas Bachem",2,,"165,062"
Grant - Menutech,https://www.crunchbase.com/funding_round/menutech-grant--36bb5ba5,Menutech,https://www.crunchbase.com/organization/menutech,Grant,"Berlin, Berlin, Germany, Europe",50000,EUR,58313,2018-08-01,,,,,No,AI-powered menu planning personalisation software for professionals,"Health Care, Information Technology, Machine Learning, Nursing and Residential Care, Nutrition, Personalization, Procurement, SaaS, Software",,https://menutech.com/,,325000,EUR,384234,Seed,3,,EASME,1,,"126,480"
Pre Seed Round - Datarade,https://www.crunchbase.com/funding_round/datarade-pre-seed--d39c1518,Datarade,https://www.crunchbase.com/organization/datarade,Pre-Seed,"Berlin, Berlin, Germany, Europe",50000,EUR,56687,2018-11-09,Seed,,,,Yes,Data commerce made easy.,"Analytics, B2B, Big Data, E-Commerce, Information Technology, SaaS, Software",,https://datarade.ai,Less than $1M,1434205,USD,1434205,Seed,4,Hasso Plattner Institute,Hasso Plattner Institute,1,,"156,509"
Angel Round - OWWN,https://www.crunchbase.com/funding_round/wajve-angel--a444d275,OWWN,https://www.crunchbase.com/organization/wajve,Angel,"Berlin, Berlin, Germany, Europe",,,,2018-10-08,Seed,,,,Yes,OWWN is a banking app that provides a one-stop shop for young adults to manage their finances.,"Apps, Banking, Financial Services, FinTech, Mobile",,https://www.owwn.com,,5000000,EUR,6086375,Seed,4,,"André M. Bajorat, Christian Gaiser, Kelly Ford, Kiana Mardi, Lucas Cranach, Oliver Hehl, Oliver Roskopf, Philipp Kloeckner, Roland Grenke",9,,"176,055"
Seed Round - TIER Mobility,https://www.crunchbase.com/funding_round/tier-mobility-seed--9067fb5c,TIER Mobility,https://www.crunchbase.com/organization/tier-mobility,Seed,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2018-10-15,Seed,,,,Yes,TIER Mobility is a micro-mobility company that provides sustainable ride-sharing solutions to its customers.,"Electric Vehicle, GreenTech, Ride Sharing, Transportation",,http://www.tier.app,$100M to $500M,646934882,USD,646934882,,11,Speedinvest,"Point Nine, Speedinvest",2,1,"112,310"
Seed Round - Taledo,https://www.crunchbase.com/funding_round/taledo-seed--562b753f,Taledo,https://www.crunchbase.com/organization/taledo,Seed,"Berlin, Berlin, Germany, Europe",900000,EUR,1018890,2018-12-01,Seed,,,,Yes,Cloud- & Subscription-based Recruitment Solution,"Developer Platform, Employment, Information Technology, Recruiting",,http://www.Taledo.com,$10M to $50M,5900000,EUR,6566614,Seed,4,,"Lakeside Invest & Consult, Ragnar Kruse",2,,"176,849"
Grant - Frameright,https://www.crunchbase.com/funding_round/frameright-grant--49ff2a50,Frameright,https://www.crunchbase.com/organization/frameright,Grant,"Berlin, Berlin, Germany, Europe",30000,EUR,33937,2018-11-13,,,,,No,"Power to the Pictures. Image Display Control for creators, developers and businesses.","Developer Tools, Digital Media, E-Commerce Platforms, Enterprise Software, Image Recognition, Information Services, Information Technology, Photography, SaaS, Software",,https://frameright.io,Less than $1M,640000,EUR,762272,Seed,6,,,,,"150,291"
Series A - Talon.One,https://www.crunchbase.com/funding_round/talon-one-series-a--d596592a,Talon.One,https://www.crunchbase.com/organization/talon-one,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-12-18,Early Stage Venture,,,,Yes,"Talon.One is a solution for creating, managing, and analyzing promotional marketing campaigns.","Business Development, Enterprise Software, Information Technology, Loyalty Programs, Marketing, SaaS, Software",,https://talon.one,$1M to $10M,,,,Late Stage Venture,6,,IRIS,1,,"197,171"
Series C - N26,https://www.crunchbase.com/funding_round/n26-series-c--90415dfe,N26,https://www.crunchbase.com/organization/n26,Series C,"Berlin, Berlin, Germany, Europe",160000000,USD,160000000,2018-03-19,Late Stage Venture,,,,Yes,N26 is a financial services company that offers mobile banking solutions.,"Banking, Finance, Financial Services, FinTech, InsurTech",,https://n26.com,Less than $1M,1719059587,USD,1719059587,Late Stage Venture,12,"Allianz X, Tencent","Allianz X, Earlybird Venture Capital, Greyhound Capital, Hedosophia, Horizons Ventures, Tencent, Valar Ventures",7,3,"200,488"
Seed Round - Mapify,https://www.crunchbase.com/funding_round/mapify-seed--0fd8fa20,Mapify,https://www.crunchbase.com/organization/mapify,Seed,"Berlin, Berlin, Germany, Europe",1000000,USD,1000000,2018-10-09,Seed,,,,Yes,Mapify is a social marketplace for travel experiences that connects travelers around the world through past and ongoing journeys.,"Adventure Travel, Apps, Internet, Social Network, Travel, Travel Accommodations",,https://mapify.travel,$1M to $10M,1300000,USD,1300000,M&A,2,"Atlantic Labs, Haus Capital","Atlantic Labs, ennea capital partners, Haus Capital, Lucas Cranach, MairDumont Ventures, Niv Dror, Roland Grenke",7,,"214,180"
Pre Seed Round - Alpaca,https://www.crunchbase.com/funding_round/alpaca-pre-seed--f13335b2,Alpaca,https://www.crunchbase.com/organization/alpaca,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,USD,100000,2018-12-10,Seed,,,,Yes,Alpaca is a tech start-up that helps both renters and landlords throughout the tedious journey of renting apartments.,"Artificial Intelligence (AI), Consumer, Facebook, Home Services, Machine Learning, Marketplace, Rental Property",,https://rentalpaca.com,$1M to $10M,100000,USD,100000,M&A,2,,"Alumni Ventures, Canaan Partners, Correlation Ventures, Elysium Venture Capital, Lightspeed Venture Partners, NextView Ventures",6,,"215,888"
Seed Round - LexaTexer,https://www.crunchbase.com/funding_round/lexatexer-seed--608676ea,LexaTexer,https://www.crunchbase.com/organization/lexatexer,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-29,Seed,,,,Yes,LexaTexer is next generation software for predictive analytics.,"Predictive Analytics, SaaS, Software",,http://www.lexatexer.com,Less than $1M,,,,Seed,1,Plug and Play Insurtech,"Data Pitch, Plug and Play Insurtech",2,,"225,602"
Seed Round - Predrepair,https://www.crunchbase.com/funding_round/predrepair-seed--b1d2b745,Predrepair,https://www.crunchbase.com/organization/predrepair,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-02-01,Seed,,,,Yes,Predrepair develops predictive maintenance algorithms tailored to the needs of car repair shops in Germany.,"Automotive, Information Technology, Internet, Project Management, Software",,,,,,,Seed,1,,Data Pitch,1,,"225,610"
Venture Round - rebuy,https://www.crunchbase.com/funding_round/rebuy-series-unknown--f2c62b31,rebuy,https://www.crunchbase.com/organization/rebuy,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",21000000,EUR,26073224,2018-03-06,,,,,Yes,rebuy is an online marketplace that allows its users to buy and sell used electronics and media.,"E-Commerce, Electronics, Marketplace, Sales",,http://www.rebuy.de,$100M to $500M,25000000,EUR,30725166,,5,,"Evoco, Headway Capital Partners, Keyhaven Capital Partners, NJF Capital, Wecken & Cie.",5,,"225,707"
Seed Round - loots,https://www.crunchbase.com/funding_round/loots-seed--d3dad1dd,loots,https://www.crunchbase.com/organization/loots,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-18,Seed,,,,Yes,loots build platforms and applications that help live streamers attract audiences and make a living from streaming their favorite games.,"Consumer, Video Streaming",,https://new.loots.com,,,,,Seed,2,,"HV Capital, InReach Ventures, Klaas Kersting",3,2,"227,174"
Debt Financing - Frontier Car Group,https://www.crunchbase.com/funding_round/frontier-cars-group-debt-financing--e0e65968,Frontier Car Group,https://www.crunchbase.com/organization/frontier-cars-group,Debt Financing,"Berlin, Berlin, Germany, Europe",17000000,USD,17000000,2018-05-01,,,,,No,"Frontier Car Group develops, launches, and operates used-automotive marketplaces within emerging market economies.","Automotive, Internet, Marketplace, Transportation",,http://www.frontiercargroup.com/,$1M to $10M,569000000,USD,569000000,Late Stage Venture,7,"Balderton Capital, TPG Growth","Autotech Ventures, Balderton Capital, FM Capital, TPG Growth",4,1,"227,240"
Seed Round - Cryptlatteral,https://www.crunchbase.com/funding_round/cryptlatteral-seed--5bf9166d,Cryptlatteral,https://www.crunchbase.com/organization/cryptlatteral,Seed,"Berlin, Berlin, Germany, Europe",50000,EUR,58398,2018-07-01,Seed,5000000,EUR,5839757,Yes,Cryptlatteral provides margin trading infrastructure to investors and crypto-exchanges via collateralized blockchain contracts,"Blockchain, Cryptocurrency, FinTech, Lending",,http://cryptlatteral.com,,50000,EUR,58398,Seed,1,,,,,"228,973"
Venture Round - Bitbond,https://www.crunchbase.com/funding_round/bitbond-series-unknown--54391ba3,Bitbond,https://www.crunchbase.com/organization/bitbond,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",1600000,EUR,1884239,2018-09-20,,,,,Yes,Bitbond supports hundreds of customers with leading tokenization infrastructure and expertise.,"Blockchain, Cryptocurrency, Enterprise Software, FinTech, Web3",,https://www.bitbond.com,$1B to $10B,13195348,USD,13195348,,7,Sekip Can Gokalp,"Hevella Capital, Point Nine, Sekip Can Gokalp",3,,"230,112"
Seed Round - T-knife,https://www.crunchbase.com/funding_round/t-knife-seed--b150c01d,T-knife,https://www.crunchbase.com/organization/t-knife,Seed,"Berlin, Berlin, Germany, Europe",8000000,EUR,9056802,2018-12-01,Seed,,,,Yes,T-knife is a developer of T cell receptors intended for T cell therapy of cancer.,Biotechnology,,https://t-knife.com/,$1M to $10M,197435084,USD,197435084,Early Stage Venture,3,,"Andera Partners, Boehringer Ingelheim Venture Fund",2,1,"231,820"
Series B - Zenjob,https://www.crunchbase.com/funding_round/zenjob-series-b--b3070e4b,Zenjob,https://www.crunchbase.com/organization/zenjob,Series B,"Berlin, Berlin, Germany, Europe",15000000,EUR,17059509,2018-11-20,Early Stage Venture,,,,Yes,Zenjob is a staffing marketplace that matches workers with temporary side jobs.,"Employment, Human Resources, Recruiting, Staffing Agency",,https://www.zenjob.com,$1M to $10M,95600000,EUR,107117270,Late Stage Venture,8,AXA Venture Partners,"Acton Capital, Atlantic Labs, AXA Venture Partners, redalpine",4,3,"233,032"
Seed Round - Meditopia,https://www.crunchbase.com/funding_round/meditopia-seed--cb88f5b2,Meditopia,https://www.crunchbase.com/organization/meditopia,Seed,"Berlin, Berlin, Germany, Europe",480000,USD,480000,2018-01-05,Seed,2020000,USD,2020000,Yes,"With 35M+ users, Meditopia is one of the world’s leading mental health apps and the global #1 App for non-English speaking countries.","Apps, Fitness, Health Care, Mental Health, mHealth, Personal Health, Wellness",,https://meditopia.com/,$1M to $10M,18260000,USD,18260000,Early Stage Venture,5,,"Alper Akcan, Ebru Dorman, Sinan Güler, StartersHub, Teknasyon, Yigit Ihlamur",6,,"233,158"
Pre Seed Round - CyberDirekt,https://www.crunchbase.com/funding_round/cyberdirekt-pre-seed--0c7ec37f,CyberDirekt,https://www.crunchbase.com/organization/cyberdirekt,Pre-Seed,"Berlin, Berlin, Germany, Europe",1200000,EUR,1479655,2018-04-12,Seed,,,,Yes,CyberDirekt enables SMEs to easily and fully protect against digital risks.,"Commercial Insurance, Consulting, Cyber Security, Financial Services, Insurance, InsurTech, Security",,https://www.cyberdirekt.de,$1M to $10M,3100000,EUR,3784775,Seed,2,,Berlin Technologie Holding,1,,"233,454"
Seed Round - Hygraph,https://www.crunchbase.com/funding_round/hygraph-seed--23d388fd,Hygraph,https://www.crunchbase.com/organization/hygraph,Seed,"Berlin, Berlin, Germany, Europe",1000000,USD,1000000,2018-07-03,Seed,,,,Yes,Hygraph is a GraphQL-based federated content management system for digital creators and digital products.,"CMS, Content, Content Creators, Information Technology, Software",,https://hygraph.com,,43614685,USD,43614685,Early Stage Venture,7,SquareOne Venture Capital,"Richmond View Ventures, SquareOne Venture Capital",2,2,"234,802"
Funding Round - Mermaid + Me,https://www.crunchbase.com/funding_round/mermaid-me-undisclosed--61b2e6d4,Mermaid + Me,https://www.crunchbase.com/organization/mermaid-me,Funding Round,"Berlin, Berlin, Germany, Europe",,,,2018-01-15,,,,,Yes,"Mermaid + Me is natural + vegan hair care, inspired by the secrets of the oceans and tropical superfoods.","E-Commerce, Retail",,https://www.mermaidme.de,,,,,M&A,1,,Capital D,1,,"235,100"
Post-IPO Equity - TME Pharma,https://www.crunchbase.com/funding_round/noxxon-pharma-post-ipo-equity--ea09d90b,TME Pharma,https://www.crunchbase.com/organization/noxxon-pharma,Post-IPO Equity,"Berlin, Berlin, Germany, Europe",6200000,EUR,7080738,2018-11-16,,,,,Yes,TME Pharma develops biostable aptamers and substances based on mirror image nucleic acids.,"Biotechnology, Health Care, Pharmaceutical",,https://www.tmepharma.com/,Less than $1M,141130000,EUR,165504982,IPO,14,Acuitas Investments,Acuitas Investments,1,,"235,729"
Series B - Service Partner ONE,https://www.crunchbase.com/funding_round/service-partner-one-series-b--5bfc4255,Service Partner ONE,https://www.crunchbase.com/organization/service-partner-one,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-02-21,Early Stage Venture,,,,Yes,SP ONE is revolutionizing the facility service market using the SP ONE proprietary technology platform.,"Apps, Facility Management, Service Industry, Software",,https://one-ifm.com,$1M to $10M,,,,M&A,4,EQT Ventures,"Antheria Holding AG, EQT Ventures, German Startups Group, Rheingau Founders, Target Global, Vito Ventures",6,3,"236,299"
